"_time","src_ip","dest_ip","alert.signature","alert.category"
"2016-08-24T22:19:25.997+0530","85.93.4.54","192.168.250.100","ETPRO TROJAN Ransomware/Cerber Checkin Error ICMP Response","A Network Trojan was detected"
"2016-08-24T22:19:24.542+0530","192.168.250.100","85.93.0.0","ETPRO TROJAN Ransomware/Cerber Checkin 2","A Network Trojan was detected"
"2016-08-24T22:07:13.405+0530","192.168.2.50","192.168.250.70","ET WEB_SERVER Possible IIS Integer Overflow DoS (CVE-2015-1635)","Web Application Attack"
"2016-08-24T22:19:36.481+0530","85.93.43.236","192.168.250.100","ETPRO TROJAN Ransomware/Cerber Checkin Error ICMP Response","A Network Trojan was detected"
"2016-08-24T22:45:12.668+0530","192.168.250.100","192.168.250.20","ETPRO TROJAN Ransomware/Cerber Onion Domain Lookup","A Network Trojan was detected"
"2016-08-24T22:45:12.668+0530","192.168.250.100","192.168.250.20","ETPRO TROJAN Ransomware/Cerber Onion Domain Lookup","A Network Trojan was detected"
"2016-08-24T22:20:25.185+0530","192.168.250.100","54.148.194.58","ET POLICY Possible External IP Lookup ipinfo.io","Potential Corporate Privacy Violation"
"2016-08-11T03:07:28.009+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible MySQL SQLi Attempt Information Schema Access","Web Application Attack"
"2016-08-11T03:07:28.009+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER MYSQL SELECT CONCAT SQL Injection Attempt","Web Application Attack"
"2016-08-11T03:07:28.009+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT","Web Application Attack"
"2016-08-11T03:07:28.009+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM","Web Application Attack"
"2016-08-11T03:07:27.853+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:07:27.843+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:07:25.832+0530","40.80.148.42","192.168.250.70","GPL WEB_SERVER TRACE attempt","Web Application Attack"
"2016-08-11T03:07:25.024+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:07:17.668+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER auto_prepend_file PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.668+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER open_basedir PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.668+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER disable_functions PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.668+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER suhosin.simulation PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.668+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER safe_mode PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.668+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER allow_url_include PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.668+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER PHP tags in HTTP POST","Web Application Attack"
"2016-08-11T03:07:17.484+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER auto_prepend_file PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.484+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER open_basedir PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.484+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER disable_functions PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.484+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER suhosin.simulation PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.484+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER safe_mode PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.484+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER allow_url_include PHP config option in uri","A Network Trojan was detected"
