"alert.signature",count,percent
"SURICATA DNS malformed request data",741,"54.485294"
"ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt",103,"7.573529"
"GPL WEB_SERVER 403 Forbidden",51,"3.750000"
"SURICATA HTTP Host header invalid",49,"3.602941"
"ET WEB_SERVER Onmouseover= in URI - Likely Cross Site Scripting Attempt",48,"3.529412"
"ET SCAN Acunetix Version 6 (Free Edition) Scan Detected",45,"3.308824"
"ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.",41,"3.014706"
"ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM",33,"2.426471"
"ET WEB_SERVER SQL Injection Select Sleep Time Delay",32,"2.352941"
"ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers",18,"1.323529"
